Designator,Mid X,Mid Y,Rotation,Layer
A1,148.2692,-61.6712,0.0,top
SW1,117.4242,-126.6484,0.0,bottom
SW10,125.603,-92.3076,0.0,bottom
SW11,167.513,-58.7716,180.0,top
SW12,178.4001,-76.4794,90.0,top
SW14,152.5405,-98.3528,0.0,bottom
SW15,168.529,-92.46,0.0,bottom
SW16,117.852,-77.7494,270.0,top
SW17,127.5334,-58.7716,180.0,top
SW18,160.401,-76.5596,0.0,bottom
SW2,154.305,-116.336,0.0,bottom
SW3,170.1546,-110.2908,0.0,bottom
SW4,156.1592,-108.204,0.0,top
SW5,124.9934,-110.2908,0.0,bottom
SW6,161.7726,-132.6428,0.0,bottom
SW7,177.673,-126.6992,0.0,bottom
SW8,140.0568,-108.168,0.0,top
SW9,148.2692,-89.9012,0.0,top
USB_PASS,136.4996,-129.2396,0.0,top
